Area	Pass1	Pass2	Pass3	Pass4	Pass5	Pass6	Pass7
2	1	0	1	0	1	NA	NA
3	1	0	1	0	1	NA	NA
4	1	0	1	0	1	0	NA
6	1	0	1	0	1	NA	NA
8	1	0	1	0	1	NA	NA
9	1	0	1	0	1	NA	NA
11	0	1	0	1	0	NA	NA
12	1	0	1	0	1	NA	NA
15	1	0	1	0	1	NA	NA
16	1	0	1	NA	NA	NA	NA
17	1	0	1	NA	NA	NA	NA
18	1	0	1	0	1	NA	NA
19	0	1	0	1	0	NA	NA
20	1	0	1	0	NA	NA	NA
21	0	1	0	NA	NA	NA	NA
22	0	1	0	1	0	NA	NA
26	0	1	0	NA	NA	NA	NA
27	0	1	0	1	0	NA	NA
29	1	0	1	0	1	NA	NA
30	0	1	0	1	0	NA	NA
31	0	1	0	0	0	NA	NA
32	0	1	0	NA	NA	NA	NA
33	0	1	0	1	0	NA	NA
34	0	0	0	0	0	NA	NA
35	0	1	0	NA	NA	NA	NA
36	0	1	0	1	0	NA	NA
39	1	0	1	0	1	NA	NA
40	0	1	0	1	0	NA	NA
41	0	1	0	1	0	NA	NA
42	0	1	0	1	0	NA	NA
43	0	1	0	1	0	NA	NA
44	0	1	0	NA	NA	NA	NA
45	1	0	1	0	1	NA	NA
46	1	0	1	0	1	NA	NA
47	1	1	1	1	1	NA	NA
48	0	1	0	1	0	NA	NA
49	1	1	1	NA	NA	NA	NA
51	1	0	1	0	1	NA	NA
52	1	0	1	1	1	NA	NA
53	1	0	1	0	1	NA	NA
54	1	0	1	NA	NA	NA	NA
55	1	0	1	NA	NA	NA	NA
56	1	0	1	0	1	NA	NA
57	0	1	0	NA	NA	NA	NA
58	1	0	1	0	1	0	1
60	1	0	1	0	1	0	NA
61	1	0	1	0	1	NA	NA
62	1	0	1	0	1	NA	NA
64	1	0	1	NA	NA	NA	NA
65	1	1	NA	NA	NA	NA	NA
66	0	1	0	NA	NA	NA	NA
67	1	0	1	0	1	NA	NA
68	1	0	1	0	1	NA	NA
69	1	0	1	NA	NA	NA	NA
71	0	1	0	1	0	NA	NA
74	0	1	0	NA	NA	NA	NA
75	0	0	0	NA	NA	NA	NA
76	1	0	1	NA	NA	NA	NA
77	0	1	0	NA	NA	NA	NA
78	1	0	1	NA	NA	NA	NA
79	0	1	0	NA	NA	NA	NA
80	0	1	0	NA	NA	NA	NA
81	1	0	1	NA	NA	NA	NA
82	0	1	0	NA	NA	NA	NA
84	0	1	0	NA	NA	NA	NA
85	1	0	1	NA	NA	NA	NA
86	1	0	1	NA	NA	NA	NA
87	0	1	0	NA	NA	NA	NA
88	1	0	NA	NA	NA	NA	NA
